stream,science_focus,field,hobby,free_time,subject,grade,age,career
Science,Medical,Research & Development,Science & Experiments,Reading/Books,Chemistry,C,22,Research Scientist
Arts,None,Design & Creative Arts,Media & Communication,Designing/Creative Work,Design/Arts,A,17,Graphic Designer
Science,Non-Medical,Data Science & Analytics,Technology & Computers,Coding/Technical Projects,AI/ML/Data Science,A+,22,AI Engineer
Science,Non-Medical,Business & Management,Technology & Computers,Coding/Technical Projects,Economics,A+,18,Business Analyst
Science,Non-Medical,Engineering & Technology,Innovation & Future Tech,Coding/Technical Projects,Mathematics,B+,21,Mechanical Engineer
Commerce,Non-Medical,Data Science & Analytics,Technology & Computers,Online Courses/Learning,Computer Science,A,17,Data Analyst
Science,Non-Medical,Engineering & Technology,Logic & Problem Solving,Coding/Technical Projects,Physics,A+,17,Civil Engineer
Science,Non-Medical,Research & Development,Innovation & Future Tech,Reading/Books,AI/ML/Data Science,A,22,Research Scientist
Science,None,Law & Policy,Technology & Computers,Reading/Books,Economics,A+,19,IAS Officer
Science,Non-Medical,Data Science & Analytics,Innovation & Future Tech,Online Courses/Learning,Mathematics,A,20,AI Engineer
Commerce,None,Design & Creative Arts,Media & Communication,Online Courses/Learning,Design/Arts,A,20,Graphic Designer
Science,None,Business & Management,Innovation & Future Tech,Reading/Books,Mathematics,A,22,MBA Leadership Roles
Arts,None,Law & Legal Services,People Interaction,Online Courses/Learning,Law,B+,22,Lawyer / Advocate
Commerce,None,Law & Legal Services,Law & Policy,Reading/Books,Law,B,19,Lawyer / Advocate
Commerce,None,Media & Journalism,People Interaction,Designing/Creative Work,Political Science,A+,22,Journalist
Arts,None,Law & Policy,Law & Policy,Online Courses/Learning,Law,B+,16,IAS Officer
Science,Non-Medical,Engineering & Technology,Environment & Nature,Online Courses/Learning,Mathematics,A,17,Civil Engineer
Science,Medical,Medical & Healthcare,Environment & Nature,Reading/Books,Economics,A,17,Doctor
Science,Non-Medical,Engineering & Technology,Sports & Fitness,Coding/Technical Projects,Economics,B,19,Mechanical Engineer
Science,Non-Medical,Engineering & Technology,Innovation & Future Tech,Coding/Technical Projects,Physics,C,21,Mechanical Engineer
Arts,None,Law & Legal Services,Law & Policy,Reading/Books,Political Science,B,17,Lawyer / Advocate
Science,Non-Medical,Business & Management,Technology & Computers,Coding/Technical Projects,Business Management,A+,19,Entrepreneur / Startup Founder
Science,Non-Medical,Data Science & Analytics,Technology & Computers,Coding/Technical Projects,AI/ML/Data Science,A,20,AI Engineer
Science,Medical,Research & Development,Science & Experiments,Reading/Books,Chemistry,B+,19,Research Scientist
Science,Non-Medical,Engineering & Technology,Technology & Computers,Coding/Technical Projects,Computer Science,A+,19,Software Engineer
Commerce,None,Data Science & Analytics,Logic & Problem Solving,Coding/Technical Projects,Economics,B+,19,Data Scientist
Science,Medical,Medical & Healthcare,Helping & Community,Online Courses/Learning,Chemistry,B,20,Dentist
Arts,None,Law & Policy,Law & Policy,Online Courses/Learning,Economics,A+,21,IAS Officer
Science,Non-Medical,Data Science & Analytics,Innovation & Future Tech,Online Courses/Learning,Computer Science,A,19,AI Engineer
Science,Non-Medical,Engineering & Technology,Innovation & Future Tech,Online Courses/Learning,Physics,B+,21,Civil Engineer
Science,Medical,Medical & Healthcare,Science & Experiments,Reading/Books,Chemistry,B,19,Doctor
Science,Medical,Medical & Healthcare,Science & Experiments,Online Courses/Learning,Chemistry,A+,22,Dentist
Arts,None,Government Services,Law & Policy,Online Courses/Learning,Political Science,B+,21,IAS Officer
Science,Non-Medical,Engineering & Technology,Logic & Problem Solving,Coding/Technical Projects,Physics,C,22,Mechanical Engineer
Science,Non-Medical,Data Science & Analytics,Technology & Computers,Online Courses/Learning,AI/ML/Data Science,A,18,AI Engineer
Science,Medical,Medical & Healthcare,Science & Experiments,Online Courses/Learning,Biology,B,17,Pharmacist
Science,Medical,Medical & Healthcare,Helping & Community,Reading/Books,Biology,A,16,Dentist
Arts,None,Media & Journalism,Innovation & Future Tech,Reading/Books,Psychology,A,22,Journalist
Arts,Medical,Psychology & Counseling,People Interaction,Online Courses/Learning,Psychology,B+,17,Clinical Psychologist
Science,Non-Medical,Data Science & Analytics,Environment & Nature,Coding/Technical Projects,Computer Science,B,16,Software Engineer
Science,None,Psychology & Counseling,Helping & Community,Online Courses/Learning,Psychology,A+,16,Clinical Psychologist
Commerce,None,Media & Journalism,Creativity & Design,Reading/Books,Psychology,A+,21,Journalist
Science,None,Business & Management,Creativity & Design,Coding/Technical Projects,Business Management,A,19,Business Analyst
Science,Medical,Medical & Healthcare,Science & Experiments,Online Courses/Learning,Political Science,B,20,Doctor
Science,Medical,Medical & Healthcare,Science & Experiments,Reading/Books,Chemistry,A,22,Dentist
Science,Non-Medical,Data Science & Analytics,Logic & Problem Solving,Coding/Technical Projects,Physics,B+,20,AI Engineer
Commerce,None,Economics & Data,Business & Money,Coding/Technical Projects,Mathematics,B,20,Data Analyst
Arts,Medical,Psychology & Counseling,Helping & Community,Reading/Books,Psychology,A+,18,Clinical Psychologist
Science,None,Government Services,Law & Policy,Reading/Books,Design/Arts,B,18,IAS Officer
Science,Medical,Research & Development,Technology & Computers,Reading/Books,Mathematics,A,17,Research Scientist
Arts,None,Design & Creative Arts,Creativity & Design,Online Courses/Learning,Design/Arts,A,17,Graphic Designer
Science,None,Business & Management,Business & Money,Online Courses/Learning,Economics,B+,16,Entrepreneur / Startup Founder
Arts,None,Law & Policy,Helping & Community,Reading/Books,Economics,A+,16,IAS Officer
Science,Medical,Medical & Healthcare,Science & Experiments,Reading/Books,Design/Arts,A+,17,Pharmacist
Arts,None,Law & Legal Services,Creativity & Design,Reading/Books,Economics,A+,22,Lawyer / Advocate
Arts,None,Design & Creative Arts,Creativity & Design,Designing/Creative Work,Design/Arts,B+,21,Graphic Designer
Science,Non-Medical,Research & Development,Logic & Problem Solving,Reading/Books,Chemistry,B,17,Research Scientist
Science,Non-Medical,Business & Management,Business & Money,Coding/Technical Projects,Physics,B,18,Entrepreneur / Startup Founder
Science,None,Government Services,Law & Policy,Reading/Books,Law,B+,17,IAS Officer
Science,Non-Medical,Business & Management,Business & Money,Reading/Books,Business Management,A,21,MBA Leadership Roles
Science,Non-Medical,Engineering & Technology,Innovation & Future Tech,Coding/Technical Projects,Physics,A,17,Mechanical Engineer
Arts,None,Design & Creative Arts,Creativity & Design,Coding/Technical Projects,Computer Science,A,18,UX/UI Designer
Science,Medical,Medical & Healthcare,Science & Experiments,Reading/Books,Mathematics,B,16,Pharmacist
Commerce,Non-Medical,Economics & Data,Law & Policy,Online Courses/Learning,Mathematics,B+,18,Data Analyst
Commerce,None,Design & Creative Arts,Media & Communication,Designing/Creative Work,Design/Arts,B+,22,Graphic Designer
Commerce,None,Media & Journalism,People Interaction,Reading/Books,Economics,B+,18,Journalist
Commerce,None,Media & Journalism,Law & Policy,Designing/Creative Work,Economics,B,21,Journalist
Science,Non-Medical,Engineering & Technology,Innovation & Future Tech,Online Courses/Learning,Business Management,B+,20,Software Engineer
Science,None,Psychology & Counseling,Helping & Community,Reading/Books,Biology,B+,20,Clinical Psychologist
Science,None,Business & Management,Innovation & Future Tech,Coding/Technical Projects,Economics,B+,17,Entrepreneur / Startup Founder
Arts,Non-Medical,Business & Management,People Interaction,Reading/Books,Economics,B,16,MBA Leadership Roles
Science,Non-Medical,Research & Development,Science & Experiments,Reading/Books,Biology,A,18,Research Scientist
Commerce,None,Economics & Data,Business & Money,Online Courses/Learning,Economics,B+,20,Data Analyst
Science,Non-Medical,Engineering & Technology,Business & Money,Online Courses/Learning,Physics,A+,20,Civil Engineer
Commerce,Non-Medical,Design & Creative Arts,Technology & Computers,Designing/Creative Work,Design/Arts,C,22,UX/UI Designer
Arts,Non-Medical,Business & Management,Innovation & Future Tech,Online Courses/Learning,Economics,A+,20,MBA Leadership Roles
Science,Non-Medical,Research & Development,Science & Experiments,Online Courses/Learning,Mathematics,B+,18,Research Scientist
Science,Non-Medical,Engineering & Technology,Innovation & Future Tech,Online Courses/Learning,AI/ML/Data Science,A,19,Software Engineer
Science,Non-Medical,Engineering & Technology,Science & Experiments,Online Courses/Learning,Physics,A,16,Mechanical Engineer
Commerce,Non-Medical,Business & Management,Technology & Computers,Coding/Technical Projects,Mathematics,B+,22,Business Analyst
Science,None,Design & Creative Arts,Technology & Computers,Coding/Technical Projects,Design/Arts,C,20,UX/UI Designer
Science,Non-Medical,Engineering & Technology,Technology & Computers,Online Courses/Learning,AI/ML/Data Science,B+,19,AI Engineer
Science,Non-Medical,Economics & Data,Logic & Problem Solving,Coding/Technical Projects,Computer Science,B+,18,Business Analyst
Science,Non-Medical,Data Science & Analytics,Technology & Computers,Coding/Technical Projects,Mathematics,A+,19,Data Analyst
Commerce,Non-Medical,Data Science & Analytics,Science & Experiments,Online Courses/Learning,Economics,A+,21,Data Scientist
Commerce,None,Media & Journalism,Creativity & Design,Designing/Creative Work,Economics,A+,20,Journalist
Science,Non-Medical,Engineering & Technology,Innovation & Future Tech,Online Courses/Learning,AI/ML/Data Science,B,18,AI Engineer
Science,None,Data Science & Analytics,Business & Money,Coding/Technical Projects,AI/ML/Data Science,A+,19,Data Analyst
Science,Non-Medical,Engineering & Technology,Technology & Computers,Coding/Technical Projects,Computer Science,C,18,Data Scientist
Science,Medical,Medical & Healthcare,Helping & Community,Online Courses/Learning,Chemistry,B+,21,Dentist
Science,Medical,Medical & Healthcare,Science & Experiments,Online Courses/Learning,Biology,A,18,Doctor
Commerce,None,Finance & Accounting Path,Logic & Problem Solving,Reading/Books,Mathematics,B,21,Chartered Accountant (CA)
Commerce,Non-Medical,Design & Creative Arts,Creativity & Design,Designing/Creative Work,Design/Arts,C,19,UX/UI Designer
Science,Medical,Medical & Healthcare,Science & Experiments,Reading/Books,Chemistry,B,16,Pharmacist
Arts,Non-Medical,Business & Management,People Interaction,Online Courses/Learning,Business Management,B,21,MBA Leadership Roles
Science,Medical,Medical & Healthcare,People Interaction,Online Courses/Learning,Physics,C,21,Doctor
Commerce,None,Engineering & Technology,Technology & Computers,Coding/Technical Projects,Computer Science,B,22,Data Scientist
Science,Non-Medical,Engineering & Technology,Logic & Problem Solving,Coding/Technical Projects,Design/Arts,A+,18,Civil Engineer
Science,Medical,Psychology & Counseling,People Interaction,Online Courses/Learning,Biology,A,20,Clinical Psychologist
Commerce,None,Finance & Accounting Path,Logic & Problem Solving,Reading/Books,Business Management,B,19,Chartered Accountant (CA)
Commerce,Non-Medical,Design & Creative Arts,Business & Money,Coding/Technical Projects,Design/Arts,B,22,UX/UI Designer
Arts,None,Media & Journalism,Creativity & Design,Designing/Creative Work,Psychology,A+,17,Journalist
Science,Medical,Medical & Healthcare,Science & Experiments,Reading/Books,Economics,B+,17,Dentist
Arts,None,Media & Journalism,Science & Experiments,Designing/Creative Work,Political Science,C,21,Journalist
Science,Medical,Psychology & Counseling,Helping & Community,Online Courses/Learning,Biology,A,21,Clinical Psychologist
Arts,None,Law & Policy,Creativity & Design,Reading/Books,Political Science,B+,20,IAS Officer
Science,Non-Medical,Engineering & Technology,Environment & Nature,Online Courses/Learning,Physics,A,16,Civil Engineer
Science,Medical,Medical & Healthcare,Science & Experiments,Reading/Books,Chemistry,C,18,Pharmacist
Science,Non-Medical,Engineering & Technology,Innovation & Future Tech,Online Courses/Learning,AI/ML/Data Science,B+,20,AI Engineer
Science,None,Economics & Data,Environment & Nature,Online Courses/Learning,Economics,A,16,Business Analyst
Commerce,Non-Medical,Economics & Data,Logic & Problem Solving,Coding/Technical Projects,Mathematics,A,19,Business Analyst
Science,None,Economics & Data,Logic & Problem Solving,Coding/Technical Projects,Economics,A+,21,Business Analyst
Science,Non-Medical,Engineering & Technology,Logic & Problem Solving,Coding/Technical Projects,Mathematics,A+,19,Civil Engineer
Science,Medical,Research & Development,Logic & Problem Solving,Reading/Books,Business Management,C,17,Research Scientist
Commerce,None,Finance & Accounting Path,Media & Communication,Online Courses/Learning,Law,B+,16,Chartered Accountant (CA)
Commerce,Non-Medical,Economics & Data,Media & Communication,Coding/Technical Projects,Mathematics,A,21,Data Analyst
Science,Non-Medical,Data Science & Analytics,Media & Communication,Coding/Technical Projects,Computer Science,A+,18,Software Engineer
Science,Medical,Medical & Healthcare,Science & Experiments,Reading/Books,Chemistry,A,22,Dentist
Arts,None,Business & Management,Business & Money,Reading/Books,Business Management,A,22,MBA Leadership Roles
Arts,Medical,Psychology & Counseling,People Interaction,Reading/Books,Biology,B+,22,Clinical Psychologist
Science,Medical,Medical & Healthcare,People Interaction,Reading/Books,Chemistry,A,20,Pharmacist
Science,Medical,Medical & Healthcare,Creativity & Design,Reading/Books,Chemistry,A,20,Dentist
Science,Medical,Medical & Healthcare,Science & Experiments,Reading/Books,Chemistry,A+,20,Pharmacist
Science,Non-Medical,Research & Development,Sports & Fitness,Reading/Books,Biology,B,20,Research Scientist
Science,Medical,Medical & Healthcare,Helping & Community,Online Courses/Learning,Chemistry,A,17,Doctor
Commerce,None,Media & Journalism,Creativity & Design,Designing/Creative Work,Political Science,A,22,Journalist
Arts,None,Media & Journalism,Creativity & Design,Reading/Books,Political Science,B+,19,Journalist
Commerce,None,Design & Creative Arts,Creativity & Design,Designing/Creative Work,Design/Arts,A+,22,Graphic Designer
Science,Medical,Medical & Healthcare,People Interaction,Online Courses/Learning,Biology,C,22,Doctor
Arts,Medical,Psychology & Counseling,People Interaction,Reading/Books,Biology,B,20,Clinical Psychologist
Arts,None,Law & Policy,People Interaction,Online Courses/Learning,Law,A,18,IAS Officer
Science,None,Design & Creative Arts,Creativity & Design,Designing/Creative Work,Computer Science,B,18,UX/UI Designer
Arts,None,Media & Journalism,Creativity & Design,Designing/Creative Work,Psychology,A+,22,Journalist
Science,None,Business & Management,Law & Policy,Coding/Technical Projects,Business Management,A,17,Business Analyst
Science,None,Psychology & Counseling,Helping & Community,Online Courses/Learning,Biology,A+,20,Clinical Psychologist
Science,None,Data Science & Analytics,Business & Money,Coding/Technical Projects,Mathematics,B+,16,Data Scientist
Science,None,Economics & Data,Business & Money,Online Courses/Learning,Economics,A+,20,Data Analyst
Science,Non-Medical,Data Science & Analytics,Business & Money,Coding/Technical Projects,Economics,B,17,Data Analyst
Science,Medical,Medical & Healthcare,Science & Experiments,Reading/Books,Chemistry,A+,16,Pharmacist
Science,Medical,Medical & Healthcare,Helping & Community,Online Courses/Learning,Chemistry,A,22,Pharmacist
Science,Medical,Medical & Healthcare,Sports & Fitness,Online Courses/Learning,Chemistry,B+,21,Doctor
Science,Non-Medical,Economics & Data,Business & Money,Coding/Technical Projects,Computer Science,A,21,Data Analyst
Arts,None,Media & Journalism,People Interaction,Designing/Creative Work,Psychology,A+,19,Journalist
Commerce,Non-Medical,Data Science & Analytics,Business & Money,Coding/Technical Projects,Computer Science,A+,22,Data Analyst
Commerce,None,Data Science & Analytics,Technology & Computers,Coding/Technical Projects,Political Science,B,19,Data Scientist
Science,Non-Medical,Engineering & Technology,Science & Experiments,Online Courses/Learning,Physics,A,17,Mechanical Engineer
Commerce,None,Government Services,People Interaction,Reading/Books,Economics,A+,22,IAS Officer
Arts,None,Business & Management,Technology & Computers,Online Courses/Learning,Computer Science,A,21,Entrepreneur / Startup Founder
Science,Non-Medical,Data Science & Analytics,Logic & Problem Solving,Coding/Technical Projects,AI/ML/Data Science,C,21,AI Engineer
Commerce,None,Design & Creative Arts,Media & Communication,Designing/Creative Work,Design/Arts,A,19,Graphic Designer
Science,Non-Medical,Engineering & Technology,Business & Money,Online Courses/Learning,Mathematics,A+,16,Civil Engineer
Science,Non-Medical,Engineering & Technology,Technology & Computers,Coding/Technical Projects,Mathematics,A,16,Software Engineer
Commerce,None,Law & Legal Services,Media & Communication,Online Courses/Learning,Law,A,21,Lawyer / Advocate
Science,Non-Medical,Business & Management,People Interaction,Reading/Books,Mathematics,A+,18,MBA Leadership Roles
Commerce,None,Finance & Accounting Path,Business & Money,Reading/Books,Mathematics,B,21,Chartered Accountant (CA)
Commerce,None,Finance & Accounting Path,Business & Money,Reading/Books,Business Management,A,16,Chartered Accountant (CA)
Science,Non-Medical,Engineering & Technology,Business & Money,Online Courses/Learning,Computer Science,B,17,Data Scientist
Science,Non-Medical,Data Science & Analytics,Technology & Computers,Online Courses/Learning,Computer Science,B+,18,Software Engineer
Commerce,None,Finance & Accounting Path,Logic & Problem Solving,Reading/Books,Mathematics,B+,22,Chartered Accountant (CA)
Science,None,Psychology & Counseling,Helping & Community,Online Courses/Learning,Biology,A,18,Clinical Psychologist
Commerce,Non-Medical,Economics & Data,Technology & Computers,Coding/Technical Projects,Business Management,A,18,Business Analyst
Science,Non-Medical,Engineering & Technology,Logic & Problem Solving,Online Courses/Learning,AI/ML/Data Science,B+,20,Software Engineer
Arts,None,Media & Journalism,Media & Communication,Designing/Creative Work,Psychology,C,18,Journalist
Science,Medical,Research & Development,Innovation & Future Tech,Online Courses/Learning,Mathematics,B+,18,Research Scientist
Commerce,None,Law & Legal Services,Law & Policy,Online Courses/Learning,Psychology,C,20,Lawyer / Advocate
Science,None,Business & Management,Technology & Computers,Coding/Technical Projects,Computer Science,B,19,Entrepreneur / Startup Founder
Science,Medical,Psychology & Counseling,People Interaction,Online Courses/Learning,Biology,A,16,Clinical Psychologist
Arts,None,Design & Creative Arts,Media & Communication,Online Courses/Learning,Design/Arts,C,16,Graphic Designer
Science,Medical,Medical & Healthcare,People Interaction,Reading/Books,Chemistry,A,21,Pharmacist
Commerce,None,Design & Creative Arts,Media & Communication,Online Courses/Learning,Design/Arts,C,18,Graphic Designer
Commerce,None,Government Services,Law & Policy,Reading/Books,Economics,C,17,IAS Officer
Commerce,None,Government Services,Law & Policy,Reading/Books,Political Science,B,21,IAS Officer
Commerce,None,Law & Legal Services,People Interaction,Reading/Books,Law,C,22,Lawyer / Advocate
Arts,None,Psychology & Counseling,People Interaction,Online Courses/Learning,Biology,A,19,Clinical Psychologist
Science,Medical,Medical & Healthcare,Science & Experiments,Reading/Books,Biology,C,18,Dentist
Science,Non-Medical,Engineering & Technology,Logic & Problem Solving,Online Courses/Learning,Psychology,A+,16,Civil Engineer
Arts,Non-Medical,Business & Management,People Interaction,Online Courses/Learning,Economics,A,18,MBA Leadership Roles
Science,Non-Medical,Engineering & Technology,Business & Money,Online Courses/Learning,Physics,B+,22,Civil Engineer
Science,Non-Medical,Data Science & Analytics,Innovation & Future Tech,Coding/Technical Projects,Computer Science,B+,16,Software Engineer
Science,Non-Medical,Engineering & Technology,Environment & Nature,Coding/Technical Projects,Mathematics,B,21,Civil Engineer
Science,Non-Medical,Research & Development,Innovation & Future Tech,Reading/Books,Physics,A+,21,Research Scientist
Arts,None,Psychology & Counseling,People Interaction,Reading/Books,Biology,A,17,Clinical Psychologist
Commerce,None,Finance & Accounting Path,Logic & Problem Solving,Online Courses/Learning,Economics,A,18,Chartered Accountant (CA)
Commerce,None,Engineering & Technology,Logic & Problem Solving,Coding/Technical Projects,Chemistry,A,22,Data Scientist
Arts,None,Law & Legal Services,Media & Communication,Reading/Books,Law,A,18,Lawyer / Advocate
Arts,Non-Medical,Design & Creative Arts,Technology & Computers,Coding/Technical Projects,Design/Arts,A,16,UX/UI Designer
Science,Non-Medical,Engineering & Technology,Innovation & Future Tech,Coding/Technical Projects,Computer Science,B+,16,Software Engineer
Arts,None,Law & Legal Services,People Interaction,Online Courses/Learning,Economics,A+,19,Lawyer / Advocate
Science,Non-Medical,Engineering & Technology,Logic & Problem Solving,Coding/Technical Projects,Mathematics,A,18,Mechanical Engineer
Science,Non-Medical,Engineering & Technology,Science & Experiments,Online Courses/Learning,Mathematics,A+,18,Mechanical Engineer
Commerce,None,Law & Legal Services,Media & Communication,Reading/Books,Political Science,A,19,Lawyer / Advocate
Commerce,None,Finance & Accounting Path,Helping & Community,Online Courses/Learning,Business Management,B+,17,Chartered Accountant (CA)
Science,None,Data Science & Analytics,Technology & Computers,Online Courses/Learning,Economics,A,17,Data Analyst
Arts,None,Design & Creative Arts,Media & Communication,Online Courses/Learning,Design/Arts,A,21,Graphic Designer
Science,Medical,Medical & Healthcare,Science & Experiments,Reading/Books,Physics,B+,19,Doctor
Science,None,Economics & Data,Technology & Computers,Coding/Technical Projects,Economics,B,21,Data Analyst
Science,Non-Medical,Engineering & Technology,Innovation & Future Tech,Online Courses/Learning,Physics,A+,16,Mechanical Engineer
Arts,Non-Medical,Design & Creative Arts,Technology & Computers,Coding/Technical Projects,Computer Science,A+,18,UX/UI Designer
Science,Non-Medical,Engineering & Technology,Technology & Computers,Online Courses/Learning,Computer Science,B+,19,AI Engineer
Commerce,None,Design & Creative Arts,Creativity & Design,Online Courses/Learning,Design/Arts,C,21,Graphic Designer
Science,Non-Medical,Business & Management,Sports & Fitness,Reading/Books,Mathematics,B,16,MBA Leadership Roles
Science,Non-Medical,Business & Management,People Interaction,Reading/Books,Mathematics,A+,19,MBA Leadership Roles
Science,Non-Medical,Data Science & Analytics,Innovation & Future Tech,Coding/Technical Projects,AI/ML/Data Science,A+,22,Software Engineer
Arts,None,Government Services,Media & Communication,Reading/Books,Political Science,A,19,IAS Officer
Commerce,Non-Medical,Economics & Data,Technology & Computers,Online Courses/Learning,Mathematics,A,16,Data Analyst
Commerce,None,Law & Policy,Helping & Community,Reading/Books,Law,A+,19,IAS Officer
Science,None,Design & Creative Arts,Logic & Problem Solving,Designing/Creative Work,Computer Science,A,22,UX/UI Designer
Arts,None,Business & Management,Technology & Computers,Coding/Technical Projects,Economics,B+,17,Entrepreneur / Startup Founder
Arts,None,Media & Journalism,Logic & Problem Solving,Reading/Books,Psychology,A,20,Journalist
Science,Non-Medical,Data Science & Analytics,Technology & Computers,Coding/Technical Projects,Physics,A,21,AI Engineer
Science,Non-Medical,Research & Development,Logic & Problem Solving,Reading/Books,Physics,A,22,Research Scientist
Science,Medical,Medical & Healthcare,Science & Experiments,Online Courses/Learning,Biology,B,20,Pharmacist
Science,Non-Medical,Engineering & Technology,Logic & Problem Solving,Coding/Technical Projects,Physics,C,19,Civil Engineer
Science,Non-Medical,Data Science & Analytics,Technology & Computers,Online Courses/Learning,AI/ML/Data Science,A+,21,Software Engineer
Commerce,None,Engineering & Technology,Logic & Problem Solving,Online Courses/Learning,Economics,A,22,Data Scientist
Arts,None,Psychology & Counseling,People Interaction,Reading/Books,Psychology,A+,16,Clinical Psychologist
Science,Medical,Medical & Healthcare,Science & Experiments,Online Courses/Learning,Biology,A,19,Dentist
Science,Non-Medical,Research & Development,Logic & Problem Solving,Reading/Books,Chemistry,B,21,Research Scientist
Commerce,None,Finance & Accounting Path,Logic & Problem Solving,Online Courses/Learning,Design/Arts,B+,21,Chartered Accountant (CA)
Science,Non-Medical,Engineering & Technology,Technology & Computers,Online Courses/Learning,Mathematics,A,16,AI Engineer
Science,Medical,Medical & Healthcare,People Interaction,Reading/Books,Physics,B+,22,Doctor
Science,Non-Medical,Engineering & Technology,Environment & Nature,Coding/Technical Projects,Mathematics,B,17,Civil Engineer
Commerce,None,Finance & Accounting Path,Logic & Problem Solving,Reading/Books,Economics,A+,21,Chartered Accountant (CA)
Arts,None,Media & Journalism,Business & Money,Designing/Creative Work,Economics,A,22,Journalist
Arts,Medical,Psychology & Counseling,People Interaction,Reading/Books,Psychology,A,19,Clinical Psychologist
Science,Non-Medical,Data Science & Analytics,Innovation & Future Tech,Coding/Technical Projects,AI/ML/Data Science,A+,19,Software Engineer
Arts,None,Media & Journalism,People Interaction,Designing/Creative Work,Psychology,B+,20,Journalist
Arts,None,Business & Management,Innovation & Future Tech,Online Courses/Learning,Computer Science,B,18,Entrepreneur / Startup Founder
Commerce,Non-Medical,Engineering & Technology,Logic & Problem Solving,Coding/Technical Projects,Economics,B+,18,Data Scientist
Science,Medical,Medical & Healthcare,Science & Experiments,Online Courses/Learning,Chemistry,B+,20,Dentist
Commerce,Non-Medical,Business & Management,Technology & Computers,Coding/Technical Projects,Business Management,B+,20,Entrepreneur / Startup Founder
Science,None,Business & Management,Business & Money,Online Courses/Learning,Business Management,B+,22,MBA Leadership Roles
Commerce,None,Engineering & Technology,Technology & Computers,Online Courses/Learning,Economics,B+,21,Data Scientist
Arts,Non-Medical,Design & Creative Arts,Technology & Computers,Coding/Technical Projects,Design/Arts,C,17,UX/UI Designer
Arts,Medical,Psychology & Counseling,People Interaction,Reading/Books,Biology,A+,22,Clinical Psychologist
Commerce,None,Design & Creative Arts,Media & Communication,Online Courses/Learning,Chemistry,B+,21,Graphic Designer
Arts,None,Design & Creative Arts,Media & Communication,Designing/Creative Work,Design/Arts,A,19,Graphic Designer
Science,Non-Medical,Business & Management,Business & Money,Coding/Technical Projects,Mathematics,B+,22,Business Analyst
Commerce,None,Finance & Accounting Path,Media & Communication,Online Courses/Learning,Economics,B+,17,Chartered Accountant (CA)
Commerce,None,Government Services,People Interaction,Reading/Books,Political Science,B+,22,IAS Officer
Science,Non-Medical,Business & Management,Business & Money,Reading/Books,Mathematics,C,21,MBA Leadership Roles
Science,Non-Medical,Engineering & Technology,Logic & Problem Solving,Online Courses/Learning,Computer Science,B+,17,Software Engineer
Science,Non-Medical,Economics & Data,Business & Money,Coding/Technical Projects,Mathematics,B+,19,Business Analyst
Commerce,None,Design & Creative Arts,Helping & Community,Online Courses/Learning,Design/Arts,B,17,Graphic Designer
Commerce,None,Media & Journalism,Creativity & Design,Reading/Books,Economics,A+,19,Journalist
Science,Non-Medical,Engineering & Technology,Environment & Nature,Online Courses/Learning,Mathematics,A+,20,Civil Engineer
Commerce,Non-Medical,Engineering & Technology,Business & Money,Coding/Technical Projects,AI/ML/Data Science,A,17,Data Scientist
Science,Non-Medical,Data Science & Analytics,Logic & Problem Solving,Online Courses/Learning,Mathematics,A,22,Data Scientist
Commerce,None,Design & Creative Arts,Technology & Computers,Coding/Technical Projects,Computer Science,A,20,UX/UI Designer
Science,Non-Medical,Engineering & Technology,Technology & Computers,Online Courses/Learning,Mathematics,A+,18,Software Engineer
Science,Medical,Research & Development,Science & Experiments,Reading/Books,Chemistry,C,19,Research Scientist
Science,None,Business & Management,People Interaction,Online Courses/Learning,Mathematics,A,22,MBA Leadership Roles
Commerce,Non-Medical,Design & Creative Arts,Technology & Computers,Coding/Technical Projects,Computer Science,A,22,UX/UI Designer
Arts,Medical,Psychology & Counseling,People Interaction,Online Courses/Learning,Psychology,B+,16,Clinical Psychologist
Commerce,None,Business & Management,Technology & Computers,Online Courses/Learning,Economics,A,17,Business Analyst
Science,Non-Medical,Business & Management,Business & Money,Online Courses/Learning,Mathematics,A+,17,Business Analyst
Commerce,Non-Medical,Design & Creative Arts,Logic & Problem Solving,Coding/Technical Projects,Computer Science,B,22,UX/UI Designer
Science,Non-Medical,Engineering & Technology,Innovation & Future Tech,Coding/Technical Projects,AI/ML/Data Science,B+,20,Software Engineer
Science,None,Law & Policy,Law & Policy,Online Courses/Learning,Law,A,19,IAS Officer
Science,Non-Medical,Engineering & Technology,Logic & Problem Solving,Coding/Technical Projects,Mathematics,C,17,Mechanical Engineer
Science,Non-Medical,Engineering & Technology,Logic & Problem Solving,Coding/Technical Projects,Mathematics,B,18,Civil Engineer
Science,None,Economics & Data,Sports & Fitness,Online Courses/Learning,Mathematics,A,20,Data Analyst
Science,Non-Medical,Engineering & Technology,Helping & Community,Online Courses/Learning,Mathematics,A,21,Civil Engineer
Science,None,Design & Creative Arts,Technology & Computers,Coding/Technical Projects,Design/Arts,B+,20,UX/UI Designer
Science,Non-Medical,Engineering & Technology,Environment & Nature,Coding/Technical Projects,Mathematics,A+,22,AI Engineer
Science,Medical,Medical & Healthcare,Helping & Community,Reading/Books,Biology,A+,20,Pharmacist
Science,Non-Medical,Research & Development,Logic & Problem Solving,Online Courses/Learning,Biology,A+,18,Research Scientist
